"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHSAV","TOT","PC_HHDI","A","2015",5.96668684879826,
"AUT","HHSAV","TOT","PC_HHDI","A","2015",6.73666489091466,
"BEL","HHSAV","TOT","PC_HHDI","A","2015",5.52605837659284,
"DNK","HHSAV","TOT","PC_HHDI","A","2015",3.90863198381378,
"FIN","HHSAV","TOT","PC_HHDI","A","2015",-0.451939939101529,
"FRA","HHSAV","TOT","PC_HHDI","A","2015",8.3280675806316,
"DEU","HHSAV","TOT","PC_HHDI","A","2015",10.0616952353047,
"GRC","HHSAV","TOT","PC_HHDI","A","2015",-15.4660959199309,"E"
"HUN","HHSAV","TOT","PC_HHDI","A","2015",7.29216092591449,
"IRL","HHSAV","TOT","PC_HHDI","A","2015",4.21316865037134,
"ITA","HHSAV","TOT","PC_HHDI","A","2015",2.88627551231221,
"JPN","HHSAV","TOT","PC_HHDI","A","2015",1.41680582319229,
"LUX","HHSAV","TOT","PC_HHDI","A","2015",15.0957866910349,
"MEX","HHSAV","TOT","PC_HHDI","A","2015",15.14903448176,
"NLD","HHSAV","TOT","PC_HHDI","A","2015",9.5484347853923,
"NZL","HHSAV","TOT","PC_HHDI","A","2015",-0.285586851022188,
"NOR","HHSAV","TOT","PC_HHDI","A","2015",10.3378319305022,
"POL","HHSAV","TOT","PC_HHDI","A","2015",-0.444387553327462,
"PRT","HHSAV","TOT","PC_HHDI","A","2015",-1.19186938909014,
"SVK","HHSAV","TOT","PC_HHDI","A","2015",3.02969115768176,
"ESP","HHSAV","TOT","PC_HHDI","A","2015",3.03265761434012,
"SWE","HHSAV","TOT","PC_HHDI","A","2015",12.1478013250305,
"CHE","HHSAV","TOT","PC_HHDI","A","2015",17.6458075902892,"E"
"GBR","HHSAV","TOT","PC_HHDI","A","2015",4.72826870405074,
"USA","HHSAV","TOT","PC_HHDI","A","2015",7.82833208809945,
"CHL","HHSAV","TOT","PC_HHDI","A","2015",9.59657735525853,
"EST","HHSAV","TOT","PC_HHDI","A","2015",6.78650101330514,
"RUS","HHSAV","TOT","PC_HHDI","A","2015",7.65852947882314,
"SVN","HHSAV","TOT","PC_HHDI","A","2015",2.78871930613699,
"ZAF","HHSAV","TOT","PC_HHDI","A","2015",-1.39619238296222,
"EA","HHSAV","TOT","PC_HHDI","A","2015",5.49114596061451,
"EU","HHSAV","TOT","PC_HHDI","A","2015",4.64859871637231,
"CAN","HHSAV","TOT","PC_HHDI","A","2015",4.15497696792876,
"CHN","HHSAV","TOT","PC_HHDI","A","2015",37.065376900555,
"LVA","HHSAV","TOT","PC_HHDI","A","2015",-8.8583448400192,
"CRI","HHSAV","TOT","PC_HHDI","A","2015",1.7223990365087,
"LTU","HHSAV","TOT","PC_HHDI","A","2015",-3.42907118763097,
"COL","HHSAV","TOT","PC_HHDI","A","2015",16.75907118763097, "P"
"CZE","HHSAV","TOT","PC_HHDI","A","2015",6.59114596061451, "P"
"IDN","HHSAV","TOT","PC_HHDI","A","2015",32.8871930613699, "P"
"IND","HHSAV","TOT","PC_HHDI","A","2015",30.565376900555, "P"
"KOR","HHSAV","TOT","PC_HHDI","A","2015",35.68833208809945,
"BRA","HHSAV","TOT","PC_HHDI","A","2015",16.26833290365087,
"TUR","HHSAV","TOT","PC_HHDI","A","2015",25.7523990365087,
"SAU","HHSAV","TOT","PC_HHDI","A","2015",29.69114596061451, "P"
"ARG","HHSAV","TOT","PC_HHDI","A","2015",16.15497696792876,
"BGR","HHSAV","TOT","PC_HHDI","A","2015",21.39619238296222,
"ROU","HHSAV","TOT","PC_HHDI","A","2015",24.49657735525853,
"ISL","HHSAV","TOT","PC_HHDI","A","2015",26.494387553327462,
"ISR","HHSAV","TOT","PC_HHDI","A","2015",23.0578319305022,
